Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
3,12,10,70,100,0.8402,0.5784,0.6667,0.6754,2.18,146.42
3,12,10,71,100,0.7361,0.5784,0.6667,0.6754,2.08,148.50
3,12,10,72,100,1.0332,0.5784,0.6667,0.6754,2.16,150.67
3,12,10,73,100,0.9959,0.5784,0.6667,0.6754,2.08,152.74
3,12,10,74,100,0.7168,0.5784,0.6579,0.6754,2.14,154.88
3,12,10,75,100,0.8034,0.5784,0.6579,0.6754,2.12,157.01
3,12,10,76,100,0.7923,0.5784,0.6579,0.6754,2.15,159.16
3,12,10,77,100,0.8407,0.5784,0.6579,0.6754,2.15,161.31
3,12,10,78,100,0.8757,0.5784,0.6579,0.6754,2.13,163.44
3,12,10,79,100,0.6964,0.5784,0.6579,0.6754,2.16,165.60
3,12,10,80,100,0.8067,0.5784,0.6579,0.6754,2.15,167.75
3,12,10,81,100,0.8219,0.5784,0.6579,0.6754,2.14,169.89
3,12,10,82,100,0.8442,0.5784,0.6579,0.6754,2.18,172.07
3,12,10,83,100,0.7110,0.5784,0.6491,0.6754,2.06,174.13
3,12,10,84,100,0.7277,0.5784,0.6228,0.6754,2.18,176.31
3,12,10,85,100,0.6930,0.5784,0.6228,0.6754,2.10,178.41
3,12,10,86,100,0.9274,0.5784,0.6053,0.6754,2.15,180.56
3,12,10,87,100,0.8325,0.5784,0.6053,0.6754,2.13,182.69
3,12,10,88,100,0.7541,0.5784,0.6053,0.6754,2.14,184.83
3,12,10,89,100,0.7694,0.5784,0.6228,0.6754,2.17,187.00
3,12,10,90,100,0.8495,0.5784,0.6316,0.6754,2.17,189.17
3,12,10,91,100,0.7784,0.5784,0.6316,0.6754,2.16,191.32
3,12,10,92,100,0.7914,0.5784,0.6316,0.6754,2.13,193.46
3,12,10,93,100,0.6804,0.5784,0.6316,0.6754,2.15,195.60
3,12,10,94,100,0.9804,0.5784,0.6404,0.6754,2.19,197.79
3,12,10,95,100,0.8196,0.5784,0.6404,0.6754,2.10,199.89
3,12,10,96,100,0.7750,0.5784,0.6316,0.6754,2.18,202.07
3,12,10,97,100,0.9201,0.5784,0.6316,0.6754,2.08,204.15
3,12,10,98,100,0.7273,0.5784,0.6316,0.6754,2.16,206.31
